"Time","Event",""
"00:03.022","Red Hot prepares  Attack  on Rexx Aprilis--20% damage",""
"00:03.821","Red Hot Attack Rexx Aprilis (A: 54186)--20% damage",""
"00:06.052","Red Hot prepares  Attack  on Rexx Aprilis--28% damage",""
"00:06.853","Red Hot Attack Rexx Aprilis (A: 48768)--28% damage",""
"00:09.088","Red Hot prepares  Attack  on Rexx Aprilis 22350 (U: 31042)--28% damage",""
"00:09.891","Red Hot Attack Rexx Aprilis 22350 (A: 26566) (U: 67940, M: 19024, 28.00%)--28% damage",""
"00:14.165","Red Hot prepares  Hot Impact  on Rexx Aprilis 133835 (P: 23618) (U: 395658)--60% damage",""
"00:14.165","Red Hot prepares  Hot Impact  on Byn Al'arnab 120234 (U: 247396)--51% damage",""
"00:14.784","Red Hot Hot Impact Rexx Aprilis 133835 (P: 23618) (U: 395658, M: 261823, 66.17%)--60% damage",""
"00:14.830","Red Hot Hot Impact Byn Al'arnab 120234 (A: 73994) (U: 399648, M: 205420, 51.40%)--51% damage",""
"00:17.140","Red Hot prepares  Attack  on Byn Al'arnab 28965 (P: 5111) (U: 70116)--51% damage",""
"00:17.943","Red Hot Attack Byn Al'arnab 28965 (P: 5111) (U: 70116, M: 41151, 58.69%)--51% damage",""
"00:20.175","Red Hot prepares  Attack  on Rexx Aprilis--28% damage",""
"00:20.978","Red Hot Attack Rexx Aprilis (A: 47156)--28% damage",""
"00:29.971","Red Hot prepares  Flame Floater  on Rexx Aprilis 85184 (U: 85184)",""
"00:30.773","Red Hot Flame Floater Rexx Aprilis 85184 (U: 85184)",""
"00:33.180","Red Hot prepares  Flame Floater  on Mini Wizard 132481 (U: 132481)",""
"00:33.981","Red Hot Flame Floater Mini Wizard 132481 (U: 132481)",""
"00:36.387","Red Hot prepares  Flame Floater  on Rose Joli-ciel 133456 (U: 133456)",""
"00:37.189","Red Hot Flame Floater Rose Joli-ciel 133456 (U: 133456)",""
"00:39.597","Red Hot prepares  Flame Floater  on Lyra Willow 124878 (U: 138754)--10% damage",""
"00:40.397","Red Hot Flame Floater Lyra Willow 124878 (U: 138754, M: 13876, 10.00%)--10% damage",""
"00:44.714","Red Hot prepares  Attack  on Rexx Aprilis 40602 (U: 40602)",""
"00:45.516","Red Hot Attack Rexx Aprilis 40602 (A: 29606) (U: 70208)",""
"00:47.743","Red Hot prepares  Attack  on Rexx Aprilis 70206 (U: 70206)",""
"00:48.546","Red Hot Attack Rexx Aprilis 70206 (U: 70206)",""
"00:52.788","Red Hot 1 prepares  Alley-oop Inferno  on Aloliona Aster 21892 (U: 27028)--19% damage",""
"00:52.788","Red Hot 2 prepares  Alley-oop Inferno  on Lyra Willow 18197 (U: 24962)--27% damage",""
"00:52.788","Red Hot 3 prepares  Alley-oop Inferno  on Rose Joli-ciel 22737 (U: 28071)--19% damage",""
"00:52.788","Red Hot 4 prepares  Alley-oop Inferno  on Mini Wizard 27390 (U: 33815)--19% damage",""
"00:52.788","Red Hot 5 prepares  Alley-oop Inferno  on Rexx Aprilis 3249 (U: 5552)--41% damage",""
"00:52.788","Red Hot 6 prepares  Alley-oop Inferno  on Byn Al'arnab--19% damage",""
"00:52.788","Red Hot 7 prepares  Alley-oop Inferno  on Amelia Mercer 25428 (U: 31393)--19% damage",""
"00:52.788","Red Hot 8 prepares  Alley-oop Inferno  on Soulless Happymeal 21938 (U: 27084)--19% damage",""
"00:53.271","Red Hot 1 Alley-oop Inferno Aloliona Aster 21892 (A: 48287) (U: 86644, M: 16465, 19.00%)--19% damage",""
"00:53.273","Red Hot 2 Alley-oop Inferno Lyra Willow 18197 (A: 50651) (U: 94444, M: 25596, 27.10%)--27% damage",""
"00:53.273","Red Hot 3 Alley-oop Inferno Rose Joli-ciel 22737 (A: 50155) (U: 89993, M: 17101, 19.00%)--19% damage",""
"00:53.273","Red Hot 4 Alley-oop Inferno Mini Wizard 27390 (A: 50241) (U: 95842, M: 18211, 19.00%)--19% damage",""
"00:53.273","Red Hot 5 Alley-oop Inferno Rexx Aprilis 3249 (A: 29606) (U: 56144, M: 23289, 41.48%)--41% damage",""
"00:53.273","Red Hot 6 Alley-oop Inferno Byn Al'arnab (A: 29597)--19% damage",""
"00:53.273","Red Hot 7 Alley-oop Inferno Amelia Mercer 25428 (A: 48444) (U: 91202, M: 17330, 19.00%)--19% damage",""
"00:53.273","Red Hot 8 Alley-oop Inferno Soulless Happymeal 21938 (A: 50214) (U: 89077, M: 16925, 19.00%)--19% damage",""
"00:55.096","Red Hot prepares  Attack  on Rexx Aprilis 49386 (U: 67955)--27% damage",""
"00:55.900","Red Hot Attack Rexx Aprilis 49386 (U: 67955, M: 18569, 27.33%)--27% damage",""
"01:02.412","Red Hot 7 prepares  Cutback Blaze  on Rexx Aprilis--27% damage",""
"01:02.412","Red Hot 7 prepares  Cutback Blaze  on Aloliona Aster--27% damage",""
"01:02.412","Red Hot 7 prepares  Cutback Blaze  on Lyra Willow 6249 (U: 8573)--27% damage",""
"01:02.412","Red Hot 7 prepares  Cutback Blaze  on Amelia Mercer--27% damage",""
"01:02.412","Red Hot 7 prepares  Cutback Blaze  on Byn Al'arnab--27% damage",""
"01:02.412","Red Hot 7 prepares  Cutback Blaze  on Mini Wizard 5489 (U: 7530)--27% damage",""
"01:02.412","Red Hot 7 prepares  Cutback Blaze  on Soulless Happymeal 878 (U: 1205)--27% damage",""
"01:02.412","Red Hot 7 prepares  Cutback Blaze  on Rose Joli-ciel--27% damage",""
"01:02.448","Red Hot prepares  Attack  on Rexx Aprilis 12215 (U: 15874)--23% damage",""
"01:02.898","Red Hot 7 Cutback Blaze Rexx Aprilis (A: 57119)--27% damage",""
"01:02.942","Red Hot 7 Cutback Blaze Aloliona Aster (A: 96191)--27% damage",""
"01:02.983","Red Hot 7 Cutback Blaze Lyra Willow 6249 (A: 98966) (U: 144345, M: 39130, 27.11%)--27% damage",""
"01:03.032","Red Hot 7 Cutback Blaze Amelia Mercer (A: 94897)--27% damage",""
"01:03.080","Red Hot 7 Cutback Blaze Byn Al'arnab (A: 60539)--27% damage",""
"01:03.121","Red Hot 7 Cutback Blaze Mini Wizard 5489 (A: 98966) (U: 143295, M: 38840, 27.10%)--27% damage",""
"01:03.162","Red Hot 7 Cutback Blaze Soulless Happymeal 878 (A: 98966) (U: 137030, M: 37186, 27.14%)--27% damage",""
"01:03.212","Red Hot 7 Cutback Blaze Rose Joli-ciel (A: 90585)--27% damage",""
"01:03.250","Red Hot Attack Rexx Aprilis 12215 (A: 39939) (U: 67777, M: 15623, 23.05%)--23% damage",""
"01:08.826","Red Hot 7 prepares  Pyrotation  on Aloliona Aster--35% damage",""
"01:08.826","Red Hot 7 prepares  Pyrotation  on Byn Al'arnab--35% damage",""
"01:08.826","Red Hot 7 prepares  Pyrotation  on Soulless Happymeal 19154 (U: 29285)--35% damage",""
"01:08.826","Red Hot 7 prepares  Pyrotation  on Rexx Aprilis 5152 (U: 7877)--35% damage",""
"01:08.826","Red Hot 7 prepares  Pyrotation  on Rose Joli-ciel--35% damage",""
"01:08.826","Red Hot 7 prepares  Pyrotation  on Lyra Willow 5952 (U: 10111)--41% damage",""
"01:08.826","Red Hot 7 prepares  Pyrotation  on Amelia Mercer--35% damage",""
"01:08.826","Red Hot 7 prepares  Pyrotation  on Mini Wizard 19641 (U: 30029)--35% damage",""
"01:09.312","Red Hot 7 Pyrotation Aloliona Aster (A: 19073)--35% damage",""
"01:09.357","Red Hot 7 Pyrotation Byn Al'arnab (A: 21333)--35% damage",""
