Timestamp,Boss_Action,Target_Player,Damage
00:12.740,Fifth Element,Frey Reinhart,53902
00:12.872,Fifth Element,Brika Lerdving,34415
00:13.006,Fifth Element,Lo'de Hanada,36942
00:13.142,Fifth Element,Resine Reinhart,54770
00:13.275,Fifth Element,Calico Reinhart,54601
00:13.410,Fifth Element,Rai Atramenta,54457
00:13.542,Fifth Element,Fio Imai,52314
00:13.677,Fifth Element,Baudouin Anjou,54863
00:27.628,Serpent Descending,Lo'de Hanada,36188
00:27.628,Serpent Descending,Baudouin Anjou,53506
00:27.628,Serpent Descending,Rai Atramenta,58466
00:27.628,Serpent Descending,Frey Reinhart,55061
00:50.271,Infirm Soul,Lo'de Hanada,172716
00:53.884,Karmic Curse,Brika Lerdving,7021
00:54.018,Karmic Curse,Lo'de Hanada,6566
00:54.152,Karmic Curse,Frey Reinhart,10126
00:54.286,Karmic Curse,Fio Imai,9819
00:54.420,Karmic Curse,Rai Atramenta,10904
00:54.552,Karmic Curse,Calico Reinhart,10553
00:54.688,Karmic Curse,Resine Reinhart,10902
00:54.820,Karmic Curse,Baudouin Anjou,10389
01:16.560,Blue Bolt,Lo'de Hanada,49653
01:16.650,Red Rush,Calico Reinhart,38647
01:16.694,Blue Bolt,Rai Atramenta,75581
01:16.784,Red Rush,Resine Reinhart,36793
01:16.826,Blue Bolt,Brika Lerdving,48383
01:16.962,Blue Bolt,Baudouin Anjou,68524
01:17.093,Blue Bolt,Frey Reinhart,69415
01:17.228,Blue Bolt,Fio Imai,69510
01:30.644,Iwa-no-shiki Kanabo,Lo'de Hanada,96443
01:30.688,Iwa-no-shiki Kanabo,Brika Lerdving,99258
01:43.207,Doro-no-shiki Explosion,Resine Reinhart,29275
01:43.343,Doro-no-shiki Explosion,Calico Reinhart,29095
01:43.475,Doro-no-shiki Explosion,Brika Lerdving,7609
01:43.608,Doro-no-shiki Explosion,Frey Reinhart,27725
01:43.745,Doro-no-shiki Explosion,Fio Imai,28156
01:43.879,Doro-no-shiki Explosion,Baudouin Anjou,27371
01:44.013,Doro-no-shiki Explosion,Lo'de Hanada,16662
01:44.147,Doro-no-shiki Explosion,Rai Atramenta,30002
01:45.305,Doro-no-shiki Explosion,Brika Lerdving,8160
01:46.418,Doro-no-shiki Explosion,Lo'de Hanada,18148
01:46.551,Doro-no-shiki Explosion,Baudouin Anjou,26937
01:46.685,Doro-no-shiki Explosion,Frey Reinhart,26808
01:46.819,Doro-no-shiki Explosion,Calico Reinhart,30525
01:47.087,Doro-no-shiki Explosion,Resine Reinhart,29055
01:47.218,Doro-no-shiki Explosion,Rai Atramenta,28696
01:48.421,Doro-no-shiki Explosion,Calico Reinhart,28717
01:48.552,Doro-no-shiki Explosion,Fio Imai,26537
01:48.686,Doro-no-shiki Explosion,Frey Reinhart,26566
01:48.820,Doro-no-shiki Explosion,Baudouin Anjou,26885
01:48.954,Doro-no-shiki Explosion,Brika Lerdving,18566
01:49.087,Doro-no-shiki Explosion,Lo'de Hanada,19552
01:49.221,Doro-no-shiki Explosion,Resine Reinhart,29112
